Rank,Tier,Rnd,Player,Pos,YDS,YPC,RUSH,REC,TD,YPR,REC/TAR Game,Team,Bye,ESPN,Rank-ADP,Link,WR_Rank
65,5,6.42,Michael Pittman Jr.,WR,955.0,10.0,3.0,99.0,4.0,9.3,6.2/8.8,IND,11.0,86.0,-21.0,https://www.4for4.com/player/michael-pittman-jr.,28
66,5,6.5,Tyler Lockett,WR,1033.0,0.0,,84.0,9.0,12.3,5.3/7.3,SEA,5.0,72.0,-6.0,https://www.4for4.com/player/tyler-lockett,29
68,5,6.67,Diontae Johnson,WR,907.0,3.6,7.0,86.0,,10.3,5.1/8.6,PIT,6.0,64.0,4.0,https://www.4for4.com/player/diontae-johnson,30
71,5,6.92,Terry Mclaurin,WR,1220.0,4.1,7.0,77.0,5.0,15.5,4.5/7.1,WAS,14.0,63.0,8.0,https://www.4for4.com/player/terry-mclaurin,31
75,5,7.25,Jerry Jeudy,WR,1012.0,10.0,4.0,67.0,6.0,14.5,4.5/6.7,DEN,9.0,46.0,29.0,https://www.4for4.com/player/jerry-jeudy,32
77,6,7.42,Christian Kirk,WR,1119.0,2.2,5.0,84.0,8.0,13.2,4.9/7.8,JAC,9.0,83.0,-6.0,https://www.4for4.com/player/christian-kirk,33
80,6,7.67,Marquise Brown,WR,710.0,1.0,1.0,67.0,3.0,10.6,5.6/8.9,ARI,14.0,80.0,0.0,https://www.4for4.com/player/marquise-brown,34
81,6,7.75,George Pickens,WR,825.0,8.0,3.0,52.0,5.0,15.4,3.1/4.9,PIT,6.0,77.0,4.0,https://www.4for4.com/player/george-pickens,35
85,6,8.08,Jahan Dotson,WR,516.0,-3.5,2.0,35.0,7.0,14.9,2.9/5.1,WAS,14.0,102.0,-17.0,https://www.4for4.com/player/jahan-dotson,36
89,7,8.42,Courtland Sutton,WR,834.0,5.0,1.0,64.0,2.0,13.0,4.3/7.3,DEN,9.0,98.0,-9.0,https://www.4for4.com/player/courtland-sutton,37
90,7,8.5,Michael Thomas,WR,171.0,0.0,,16.0,3.0,10.7,5.3/7.3,NO,11.0,97.0,-7.0,https://www.4for4.com/player/michael-thomas,38
92,7,8.67,Jordan Addison,WR,,,,,,,,MIN,13.0,112.0,-20.0,https://www.4for4.com/player/jordan-addison,39
95,7,8.92,Zay Flowers,WR,,,,,,,,BAL,13.0,119.0,-24.0,https://www.4for4.com/player/zay-flowers,40
