Rank,Tier,Rnd,Player,Pos,YDS,YPC,RUSH,REC,TD,YPR,REC/TAR Game,Team,Bye,ESPN,Rank-ADP,Link,RB_Rank
55,5,5.58,Miles Sanders,RB,1347.0,4.9,259.0,20.0,11.0,3.9,1.2/1.5,CAR,7.0,57.0,-2.0,https://www.4for4.com/player/miles-sanders,21
56,5,5.67,Rachaad White,RB,771.0,3.7,129.0,50.0,3.0,5.8,2.9/3.4,TB,5.0,52.0,4.0,https://www.4for4.com/player/rachaad-white,22
57,5,5.75,James Conner,RB,1082.0,4.3,183.0,46.0,8.0,6.5,3.5/4.5,ARI,14.0,53.0,4.0,https://www.4for4.com/player/james-conner,23
58,5,5.83,Cam Akers,RB,903.0,4.2,188.0,13.0,7.0,9.0,0.9/1.2,LAR,10.0,70.0,-12.0,https://www.4for4.com/player/cam-akers,24
67,5,6.58,Dalvin Cook,RB,1468.0,4.4,264.0,39.0,10.0,7.6,2.3/3.3,NYJ,7.0,73.0,-6.0,https://www.4for4.com/player/dalvin-cook,25
69,5,6.75,D'Andre Swift,RB,931.0,5.5,99.0,48.0,8.0,8.1,3.4/5.0,PHI,10.0,85.0,-16.0,https://www.4for4.com/player/d'andre-swift,26
70,5,6.83,Alvin Kamara,RB,1387.0,4.0,223.0,57.0,4.0,8.6,3.8/5.1,NO,11.0,50.0,20.0,https://www.4for4.com/player/alvin-kamara,27
72,5,7.0,David Montgomery,RB,1117.0,4.0,201.0,34.0,6.0,9.3,2.1/2.5,DET,9.0,82.0,-10.0,https://www.4for4.com/player/david-montgomery,28
73,5,7.08,Javonte Williams,RB,280.0,4.3,47.0,16.0,,4.8,4.0/5.5,DEN,9.0,78.0,-5.0,https://www.4for4.com/player/javonte-williams,29
74,5,7.17,Isiah Pacheco,RB,960.0,4.9,170.0,13.0,5.0,10.0,0.8/0.8,KC,10.0,76.0,-2.0,https://www.4for4.com/player/isiah-pacheco,30
78,6,7.5,James Cook,RB,687.0,5.7,89.0,21.0,3.0,8.6,1.3/2.0,BUF,13.0,69.0,9.0,https://www.4for4.com/player/james-cook,31
