Rank,ADP,Name,POS,AB,Z_R,Z_HR,Z_RBI,Z_SB,Z_BB,Z_AVG,Z_SLG,IP,Z_K,Z_QS,Z_W,Z_SV,Z_HLD,Z_ERA,Z_WHIP,$
387,249.9,Kodai Senga,SP,,,,,,,,,111.8,-0.523,-0.575,-0.44,0.0,0.0,-0.031,0.173,-3.43
388,244.1,Roki Sasaki,SP,,,,,,,,,115.8,-0.622,-0.528,-0.285,0.0,0.0,0.111,0.198,-3.56
389,260.0,Brent Suter,RP,,,,,,,,,64.8,-0.292,0.0,0.27,-0.67,-0.451,0.334,0.299,-3.63
390,260.0,Beau Brieske,RP,,,,,,,,,51.5,-0.484,0.0,-0.433,-0.67,0.276,0.293,0.218,-3.72
391,260.0,Miles Mikolas,SP,,,,,,,,,148.9,-0.755,-0.101,-0.44,0.0,0.0,0.374,0.173,-3.77
392,260.0,Cole Sulser,RP,,,,,,,,,56.7,-0.223,0.0,-0.082,-0.67,-0.451,0.222,0.245,-3.87
393,259.9,Denzel Clarke,OF,282.0,-0.315,-0.615,-0.406,0.383,-0.399,-0.946,-0.878,,,,,,,,,-3.9
394,240.9,Max Muncy,2B/3B,243.0,-0.461,-0.507,-0.461,-0.55,-0.705,-0.296,-0.222,,,,,,,,,-3.93
395,259.0,Jasson Dominguez,OF,134.0,-0.943,-0.821,-0.936,-0.071,-0.796,0.155,0.085,,,,,,,,,-4.09
396,259.9,Jake Bauers,1B/OF,232.0,-0.485,-0.29,-0.515,-0.071,-0.029,-1.497,-0.484,,,,,,,,,-4.14
397,259.6,Grant Holmes,SP,,,,,,,,,120.0,-0.352,-0.931,-0.478,0.0,0.0,0.09,0.198,-4.19
398,259.8,Zack Littell,SP,,,,,,,,,131.2,-0.843,-0.362,-0.594,0.0,0.0,0.3,-0.004,-4.28
399,259.9,Ramon Urias,2B/3B,208.0,-0.695,-0.702,-0.684,-0.676,-0.726,0.255,-0.309,,,,,,,,,-4.35
400,256.8,Javier Sanoja,2B/3B/ OF,161.0,-0.901,-1.006,-0.936,-0.323,-0.953,0.856,-0.331,,,,,,,,,-4.42
401,260.0,Sam Haggerty,OF,168.0,-0.819,-0.973,-0.892,0.245,-0.74,0.205,-0.681,,,,,,,,,-4.49
402,259.8,Joey Bart,C,243.0,-0.471,-0.605,-0.556,-0.663,-0.282,-0.296,-0.79,,,,,,,,,-4.5
