Rank,Player,Pos,Tier,Diff,YDS,YPC,RUSH,REC,TD,YPR,REC/TAR Game,Team,Bye,ESPN,Rank-ADP,Link,RB_Rank
67,Aaron Jones,RB,5,-8.6,889.0,4.6,142.0,30.0,3.0,7.8,2.7/3.9,MIN,6,58.0,9.0,https://www.4for4.com/player/aaron-jones,21
68,Zamir White,RB,5,-1.0,549.0,4.3,104.0,15.0,1.0,6.5,0.9/1.1,LV,10,69.0,-1.0,https://www.4for4.com/player/zamir-white,22
77,D'Andre Swift,RB,6,-16.0,1263.0,4.6,229.0,39.0,6.0,5.5,2.4/3.1,CHI,7,57.0,20.0,https://www.4for4.com/player/d'andre-swift,23
78,Tony Pollard,RB,6,2.6,1316.0,4.0,252.0,55.0,6.0,5.7,3.2/3.9,TEN,5,86.0,-8.0,https://www.4for4.com/player/tony-pollard,24
80,Najee Harris,RB,6,-9.6,1205.0,4.1,255.0,29.0,8.0,5.9,1.7/2.2,PIT,9,75.0,5.0,https://www.4for4.com/player/najee-harris,25
81,Raheem Mostert,RB,6,-7.0,1187.0,4.8,209.0,25.0,21.0,7.0,1.7/2.1,MIA,6,85.0,-4.0,https://www.4for4.com/player/raheem-mostert,26
82,Javonte Williams,RB,6,1.0,1002.0,3.6,217.0,47.0,5.0,4.9,2.9/3.6,DEN,14,82.0,0.0,https://www.4for4.com/player/javonte-williams,27
83,Brian Robinson Jr.,RB,6,9.4,1101.0,4.1,178.0,36.0,9.0,10.2,2.4/2.9,WAS,14,76.0,7.0,https://www.4for4.com/player/brian-robinson-jr.,28
87,Devin Singletary,RB,6,7.4,1097.0,4.2,216.0,30.0,4.0,6.4,1.8/2.2,NYG,11,106.0,-19.0,https://www.4for4.com/player/devin-singletary,29
92,Jaylen Warren,RB,7,-0.4,1154.0,5.3,149.0,61.0,4.0,6.1,3.6/4.4,PIT,9,87.0,5.0,https://www.4for4.com/player/jaylen-warren,30
94,Tyjae Spears,RB,7,6.2,838.0,4.5,100.0,52.0,3.0,7.4,3.1/4.1,TEN,5,92.0,2.0,https://www.4for4.com/player/tyjae-spears,31
96,Jerome Ford,RB,7,18.2,1132.0,4.0,204.0,44.0,9.0,7.2,2.6/3.7,CLE,10,120.0,-24.0,https://www.4for4.com/player/jerome-ford,32
98,Zack Moss,RB,7,-1.4,986.0,4.3,183.0,27.0,7.0,7.1,1.9/2.6,CIN,12,112.0,-14.0,https://www.4for4.com/player/zack-moss,33
105,Chase Brown,RB,7,7.2,335.0,4.1,44.0,14.0,1.0,11.1,1.2/1.3,CIN,12,118.0,-13.0,https://www.4for4.com/player/chase-brown,34
107,Austin Ekeler,RB,8,-15.8,1064.0,3.5,179.0,51.0,6.0,8.5,3.6/5.3,WAS,14,93.0,14.0,https://www.4for4.com/player/austin-ekeler,35
109,Jonathon Brooks,RB,8,-10.6,,,,,,,,CAR,11,108.0,1.0,https://www.4for4.com/player/jonathon-brooks,36
113,Gus Edwards,RB,8,0.4,990.0,4.1,198.0,12.0,13.0,15.0,0.7/0.8,LAC,5,127.0,-14.0,https://www.4for4.com/player/gus-edwards,37
115,Ezekiel Elliott,RB,8,-3.8,955.0,3.5,184.0,51.0,5.0,6.1,3.0/3.8,DAL,7,102.0,13.0,https://www.4for4.com/player/ezekiel-elliott,38
117,Rico Dowdle,RB,8,33.4,505.0,4.1,89.0,17.0,4.0,8.5,1.1/1.4,DAL,7,170.0,-53.0,https://www.4for4.com/player/rico-dowdle,39
124,Nick Chubb,RB,9,-24.2,191.0,6.1,28.0,4.0,,5.2,2.0/2.0,CLE,10,115.0,9.0,https://www.4for4.com/player/nick-chubb,40
